ID,WF,Time,NWP1_00h_D-2_U,NWP1_00h_D-2_V,NWP1_00h_D-2_T,NWP1_06h_D-2_U,NWP1_06h_D-2_V,NWP1_06h_D-2_T,NWP1_12h_D-2_U,NWP1_12h_D-2_V,NWP1_12h_D-2_T,NWP1_18h_D-2_U,NWP1_18h_D-2_V,NWP1_18h_D-2_T,NWP1_00h_D-1_U,NWP1_00h_D-1_V,NWP1_00h_D-1_T,NWP1_06h_D-1_U,NWP1_06h_D-1_V,NWP1_06h_D-1_T,NWP1_12h_D-1_U,NWP1_12h_D-1_V,NWP1_12h_D-1_T,NWP1_18h_D-1_U,NWP1_18h_D-1_V,NWP1_18h_D-1_T,NWP1_00h_D_U,NWP1_00h_D_V,NWP1_00h_D_T,NWP1_06h_D_U,NWP1_06h_D_V,NWP1_06h_D_T,NWP1_12h_D_U,NWP1_12h_D_V,NWP1_12h_D_T,NWP1_18h_D_U,NWP1_18h_D_V,NWP1_18h_D_T,NWP2_00h_D-2_U,NWP2_00h_D-2_V,NWP2_12h_D-2_U,NWP2_12h_D-2_V,NWP2_00h_D-1_U,NWP2_00h_D-1_V,NWP2_12h_D-1_U,NWP2_12h_D-1_V,NWP2_00h_D_U,NWP2_00h_D_V,NWP2_12h_D_U,NWP2_12h_D_V,NWP3_00h_D-2_U,NWP3_00h_D-2_V,NWP3_00h_D-2_T,NWP3_06h_D-2_U,NWP3_06h_D-2_V,NWP3_06h_D-2_T,NWP3_12h_D-2_U,NWP3_12h_D-2_V,NWP3_12h_D-2_T,NWP3_18h_D-2_U,NWP3_18h_D-2_V,NWP3_18h_D-2_T,NWP3_00h_D-1_U,NWP3_00h_D-1_V,NWP3_00h_D-1_T,NWP3_06h_D-1_U,NWP3_06h_D-1_V,NWP3_06h_D-1_T,NWP3_12h_D-1_U,NWP3_12h_D-1_V,NWP3_12h_D-1_T,NWP3_18h_D-1_U,NWP3_18h_D-1_V,NWP3_18h_D-1_T,NWP3_00h_D_U,NWP3_00h_D_V,NWP3_00h_D_T,NWP3_06h_D_U,NWP3_06h_D_V,NWP3_06h_D_T,NWP3_12h_D_U,NWP3_12h_D_V,NWP3_12h_D_T,NWP3_18h_D_U,NWP3_18h_D_V,NWP3_18h_D_T,NWP4_00h_D-2_U,NWP4_00h_D-2_V,NWP4_00h_D-2_CLCT,NWP4_12h_D-2_U,NWP4_12h_D-2_V,NWP4_12h_D-2_CLCT,NWP4_00h_D-1_U,NWP4_00h_D-1_V,NWP4_00h_D-1_CLCT,NWP4_12h_D-1_U,NWP4_12h_D-1_V,NWP4_12h_D-1_CLCT,NWP4_00h_D_U,NWP4_00h_D_V,NWP4_00h_D_CLCT,NWP4_12h_D_U,NWP4_12h_D_V,NWP4_12h_D_CLCT,NWP1_U,NWP1_V,NWP1_T,NWP2_U,NWP2_V,NWP3_U,NWP3_V,NWP3_T,NWP4_U,NWP4_V,NWP4_CLCT
631,WF1,2018-05-27 07:00:00,-1.403,1.633,294.0,-5.418,1.383,294.0,-7.64,3.336,295.8,-7.94,4.85,296.0,-7.51,3.266,295.5,-9.7,0.605,293.5,-9.2,0.3716,293.8,-3.69,2.277,293.8,-1.028,1.801,292.8,-2.508,-1.68,293.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06055,-1.35,100.0,-0.749,-0.6045,100.0,-1.126,-1.192,100.0,-1.551,-1.535,100.0,,,,-2.5078125,-1.6796875,293.75,,,,,,-1.55078125,-1.53515625,100.0
632,WF1,2018-05-27 08:00:00,-5.445,5.73,295.0,-3.697,1.759,294.5,-7.16,5.78,296.8,-4.156,5.434,296.0,-5.57,4.406,296.2,-8.266,-0.3044,295.2,-8.16,-2.102,294.8,-5.57,1.345,295.0,-3.879,-0.59,293.8,-4.492,-2.4,295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4658,-0.1814,100.0,-0.1114,0.6577,100.0,0.616,0.213,100.0,-0.1799,-1.81,100.0,,,,-4.4921875,-2.400390625,295.0,,,,,,-0.179931640625,-1.8095703125,100.0
633,WF1,2018-05-27 09:00:00,-9.1,7.67,295.8,-4.824,2.525,295.0,-6.32,7.164,296.5,-3.527,6.793,296.0,-3.623,3.988,296.5,0.4714,1.33,296.0,-4.3,0.5327,296.0,-4.465,2.559,295.8,-4.105,3.424,295.2,-2.79,3.256,296.2,,,,,,,-5.92,8.07,-6.92,5.92,-7.41,4.57,-6.492,5.668,-10.06,6.18,,,-7.68,7.47,298.2,-6.26,6.652,298.5,-7.445,6.656,299.0,-7.668,6.285,298.5,-6.96,4.996,299.0,-8.055,5.746,298.8,-6.79,5.266,298.5,,,,-8.47,5.3,299.5,-7.39,4.62,299.2,,,,,,,,,,0.1117,1.329,100.0,-1.124,1.884,100.0,1.642,1.281,100.0,-0.3503,-0.993,100.0,,,,-2.7890625,3.255859375,296.25,-10.0625,6.1796875,-7.390625,4.62109375,299.25,-0.350341796875,-0.9931640625,100.0
634,WF1,2018-05-27 10:00:00,-8.42,6.516,296.0,-5.414,4.105,295.2,-5.82,9.23,296.5,-5.016,9.54,296.2,-3.562,5.434,297.2,4.402,2.918,296.0,0.9814,1.49,296.8,-5.92,6.203,296.8,-10.24,7.258,296.2,-9.21,8.51,297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.716,2.139,100.0,-1.309,3.63,100.0,0.3472,1.746,100.0,0.5767,3.326,100.0,,,,-9.2109375,8.5078125,297.0,,,,,,0.57666015625,3.326171875,100.0
635,WF1,2018-05-27 11:00:00,-7.31,3.898,299.2,-7.215,10.12,295.2,-6.75,11.89,296.8,-4.684,11.56,296.2,-5.29,10.58,297.0,-3.727,7.96,296.2,1.953,3.246,296.5,-6.305,8.97,297.0,-7.84,9.01,296.2,-9.3,10.336,297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.779,3.29,100.0,-2.895,4.895,100.0,-0.9375,2.783,100.0,0.11163,4.344,100.0,,,,-9.296875,10.3359375,297.0,,,,,,0.11163330078125,4.34375,100.0
636,WF1,2018-05-27 12:00:00,-4.64,8.24,299.0,-9.74,14.945,294.5,-6.66,12.75,296.2,-5.86,11.164,296.0,-3.713,13.9,295.8,-9.805,11.96,295.8,-3.42,10.586,295.5,-6.227,12.07,296.2,-6.312,10.42,296.0,-6.984,9.78,296.5,-7.016,7.734,296.5,,,,-7.887,10.13,-8.27,10.56,-7.582,10.375,-9.664,8.54,-5.496,9.34,-5.88,7.082,-5.016,7.67,298.8,-6.227,8.6,299.8,-5.68,7.297,298.0,-6.57,8.37,299.0,-4.676,10.1,299.2,-5.332,10.16,298.8,-5.633,7.223,300.0,,,,-6.44,8.0,300.0,-7.883,6.125,301.0,-8.125,4.87,300.2,,,,,,,-0.546,3.604,100.0,-4.01,5.78,100.0,1.389,5.445,100.0,-1.085,7.0,31.12,-1.778,7.55,100.0,-7.015625,7.734375,296.5,-5.87890625,7.08203125,-8.125,4.87109375,300.25,-1.7783203125,7.55078125,100.0
637,WF1,2018-05-27 13:00:00,,,,-7.516,13.484,294.2,-6.76,13.14,296.2,-5.043,10.9,295.8,-1.515,10.74,294.8,-12.016,12.14,295.2,-6.12,13.195,295.0,-5.56,14.375,296.0,-6.848,13.26,295.8,-9.4,11.805,296.8,-6.523,9.875,296.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.46,5.355,100.0,-2.664,4.094,100.0,1.313,5.477,100.0,-1.265,7.895,100.0,-6.5234375,9.875,296.75,,,,,,-1.2646484375,7.89453125,100.0
638,WF1,2018-05-27 14:00:00,,,,-5.6,14.21,294.0,-6.66,11.875,296.5,-5.836,8.89,295.5,-1.325,9.125,294.5,-12.125,10.74,295.0,-8.16,13.18,295.2,-5.66,13.55,296.0,-6.348,11.55,296.2,-5.387,12.695,296.5,-8.84,10.92,296.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.15,1.809,100.0,-6.2,5.574,100.0,3.701,0.714,100.0,-2.559,3.941,100.0,-8.84375,10.921875,296.75,,,,,,-2.55859375,3.94140625,100.0
639,WF1,2018-05-27 15:00:00,,,,-9.27,8.49,294.2,-6.766,10.17,296.5,-8.016,5.42,295.5,-4.586,7.453,294.8,-7.96,9.28,295.0,-6.78,11.17,295.0,-7.098,12.9,296.0,-3.305,9.3,295.8,-0.88,9.84,295.5,-14.2,11.21,296.8,,,,,,-7.184,9.9,-5.46,7.06,-1.93,5.89,-6.0,7.04,-2.912,10.06,,,,-3.012,8.58,299.0,-5.973,6.61,298.0,-5.195,7.45,298.0,-6.605,4.89,300.2,-7.09,3.7,300.2,-5.227,7.47,299.2,,,,-4.92,7.863,300.0,-6.336,6.94,300.2,-6.37,5.67,300.8,,,,,,,,,,-7.312,1.3545,100.0,-9.266,4.367,100.0,4.004,0.34,100.0,-2.58,5.76,100.0,-14.203125,11.2109375,296.75,-2.912109375,10.0625,-6.37109375,5.671875,300.75,-2.580078125,5.76171875,100.0
640,WF1,2018-05-27 16:00:00,,,,-10.69,5.1,294.0,-6.73,8.805,296.8,-7.543,4.895,294.5,-4.3,8.66,294.0,-7.84,8.36,295.2,-8.64,6.97,294.5,-7.426,11.38,295.0,-5.035,9.14,295.2,0.2465,4.586,294.8,-8.99,5.21,296.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.676,-0.986,100.0,-6.004,0.3315,100.0,4.062,0.2544,100.0,-0.987,2.135,100.0,-8.9921875,5.2109375,296.25,,,,,,-0.98681640625,2.134765625,100.0
641,WF1,2018-05-27 17:00:00,,,,-2.562,1.259,293.8,-6.324,9.37,296.2,-7.19,1.798,294.8,-6.69,9.17,294.8,-6.81,7.543,295.5,-3.35,2.658,294.2,-5.484,10.23,294.2,-7.97,7.82,295.2,1.522,1.616,294.2,-0.799,3.148,295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.773,0.8823,100.0,-5.85,1.798,100.0,-2.896,-3.094,99.0,-3.092,-0.4658,68.7,-0.798828125,3.1484375,295.0,,,,,,-3.091796875,-0.4658203125,68.6875
642,WF1,2018-05-27 18:00:00,,,,0.1154,-0.315,293.5,-7.715,9.31,295.8,-2.676,2.787,294.2,-4.46,6.047,294.5,-5.645,6.48,294.8,2.156,-1.931,294.5,-7.02,10.086,294.2,-2.668,4.695,294.2,-0.7886,-1.132,294.2,3.805,-1.161,294.0,0.7686,-4.684,295.2,,,-8.73,6.293,-9.07,4.613,-4.973,6.637,-4.02,-5.69,-0.8457,-5.37,,,,-3.49,6.62,297.0,-2.756,4.36,297.8,-4.492,5.844,297.5,-0.0439,8.836,297.2,1.225,9.38,295.8,-4.75,6.54,297.8,,,,-5.16,6.36,298.5,-7.215,6.9,298.2,-5.58,5.688,299.2,-2.094,1.674,298.2,,,,,,,0.03635,3.9,100.0,-3.709,1.005,100.0,-2.55,-1.5625,93.7,-1.8955,-2.982,87.9,0.7685546875,-4.68359375,295.25,-0.845703125,-5.37109375,-2.09375,1.673828125,298.25,-1.8955078125,-2.982421875,87.875
643,WF1,2018-05-27 19:00:00,,,,,,,-6.91,9.91,295.5,0.563,2.148,294.2,-1.84,2.639,294.2,-6.85,7.543,294.0,4.004,-5.434,293.8,-7.727,6.004,294.0,-1.417,0.0118,294.0,-0.9688,-4.023,294.0,4.715,-4.8,293.8,-1.396,-6.09,295.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.537,4.87,100.0,-1.311,1.993,100.0,-2.85,-0.3792,100.0,-0.6997,-3.238,95.3,-1.396484375,-6.08984375,295.25,,,,,,-0.69970703125,-3.23828125,95.3125
644,WF1,2018-05-27 20:00:00,,,,,,,-4.133,7.61,295.0,0.0602,-2.479,294.2,0.0902,1.987,294.0,-11.1,6.87,294.5,1.871,-6.133,293.2,-3.85,-1.824,294.0,0.2112,-3.643,293.8,-2.098,-6.23,294.0,2.1,-6.438,293.8,-2.736,-6.18,295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.145,-0.01154,100.0,0.2192,-2.879,100.0,-2.041,-2.088,84.8,-0.83,-2.355,100.0,-2.736328125,-6.1796875,295.0,,,,,,-0.830078125,-2.35546875,100.0
645,WF1,2018-05-27 21:00:00,,,,,,,-3.584,2.328,294.8,2.127,-5.793,293.8,-2.193,1.445,294.0,-9.06,5.027,294.5,-0.528,-2.074,293.0,-2.207,-1.67,294.0,-0.887,-6.535,293.8,-3.584,-2.309,293.8,-1.152,-6.168,293.8,-5.523,-7.105,295.0,,,-5.973,1.345,-5.945,3.447,-7.914,5.06,-3.781,3.584,-5.074,1.465,,,,,,,1.286,0.4836,295.5,-1.065,3.479,295.8,-3.014,3.229,296.2,-1.284,1.823,295.8,-2.844,4.35,296.8,-0.978,2.78,296.5,-4.312,5.297,297.8,-6.145,4.137,297.8,-6.883,3.43,298.0,-1.111,-1.685,297.0,,,,,,,-0.886,-0.4978,100.0,-4.266,-2.32,100.0,-1.286,1.49,100.0,2.28,1.068,100.0,-5.5234375,-7.10546875,295.0,-5.07421875,1.46484375,-1.111328125,-1.6845703125,297.0,2.279296875,1.068359375,100.0
646,WF1,2018-05-27 22:00:00,,,,,,,-0.2441,-2.123,294.2,0.0432,-7.55,293.8,-1.052,-0.934,293.8,-6.195,4.926,294.5,-2.402,3.43,293.0,-4.266,-1.395,294.5,-4.184,-5.637,293.5,-2.945,1.47,293.8,-6.0,-3.838,294.0,-6.727,-5.363,295.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.957,-1.467,100.0,-3.627,0.832,100.0,1.732,-2.15,100.0,1.194,0.608,100.0,-6.7265625,-5.36328125,295.25,,,,,,1.1943359375,0.60791015625,100.0
647,WF1,2018-05-27 23:00:00,,,,,,,1.972,-4.25,294.2,-1.545,1.078,293.5,0.0122,0.6455,293.5,-6.562,5.184,294.2,-7.605,6.58,294.0,-4.92,-0.437,294.5,-5.855,-2.469,293.8,-0.871,1.5205,293.5,-6.516,0.3733,294.5,-2.773,0.3562,295.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.665,-1.356,100.0,-2.791,-0.1672,49.5,-0.08514,-3.488,100.0,0.4773,-1.649,100.0,-2.7734375,0.356201171875,295.25,,,,,,0.477294921875,-1.6494140625,100.0
648,WF1,2018-05-28 00:00:00,-5.773,7.58,293.5,-6.28,7.297,294.5,-8.414,7.156,294.0,-1.593,3.656,294.2,-4.746,-3.81,293.8,0.3171,2.13,293.5,-1.737,3.334,293.8,1.388,0.2256,294.8,-1.971,-5.742,293.5,,,,,,,,,,-7.96,1.035,-5.586,0.737,0.2664,-5.64,1.096,-1.309,-0.917,-3.465,,,-4.426,1.01,296.0,-2.895,-1.413,295.0,-3.475,0.8076,295.2,,,,-2.295,1.572,296.2,-3.771,0.4858,296.5,-4.113,0.2896,296.5,-1.368,-2.084,295.2,-1.672,-1.873,295.5,,,,,,,,,,-0.663,-1.082,97.5,-1.476,0.0764,73.0,-1.214,-2.514,100.0,1.158,-1.032,100.0,0.809,0.4902,100.0,,,,-1.970703125,-5.7421875,293.5,-0.9169921875,-3.46484375,-1.671875,-1.873046875,295.5,0.80908203125,0.490234375,100.0
649,WF1,2018-05-28 01:00:00,-8.79,11.01,293.0,-6.168,8.43,294.5,-8.93,10.39,293.8,-7.613,5.37,293.8,-4.324,-4.598,293.8,0.0345,1.022,293.2,0.5405,1.637,293.5,1.194,0.2317,294.2,-4.305,-3.723,293.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.521,-0.787,25.89,-1.777,-1.458,53.38,1.043,-2.053,100.0,1.085,-0.607,100.0,,,,-4.3046875,-3.72265625,293.5,,,,,,1.0849609375,-0.60693359375,100.0
650,WF1,2018-05-28 02:00:00,-8.2,10.17,292.8,-7.812,10.82,294.0,-9.41,12.34,293.2,-9.71,7.02,293.5,-4.293,-4.465,293.8,-1.913,0.803,293.2,0.882,-2.207,293.0,2.16,2.291,293.8,-1.257,3.191,293.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.437,-0.6826,22.28,-2.604,-1.076,44.3,-0.789,-0.3477,98.56,0.2651,-2.383,100.0,,,,-1.2568359375,3.19140625,293.25,,,,,,0.26513671875,-2.3828125,100.0
651,WF1,2018-05-28 03:00:00,-6.727,9.01,292.5,-8.97,13.016,293.8,-8.07,12.44,293.0,-9.164,8.85,293.2,-4.734,-3.74,293.8,-2.467,0.4304,293.2,0.5317,-1.09,293.0,0.4392,4.22,293.8,0.5845,2.521,293.0,,,,,,,,,,-5.76,-0.1037,-6.504,-1.775,-3.334,0.1989,-6.812,6.82,-5.08,2.994,,,-1.205,1.517,294.5,-2.973,3.023,294.5,-2.729,2.252,294.2,,,,-3.248,0.3604,294.8,-5.324,0.558,295.2,-7.984,3.926,294.8,-6.375,1.163,295.0,-7.02,1.782,295.0,,,,,,,,,,,,,0.1982,0.666,39.4,-1.91,-0.2202,52.06,-1.578,-0.0131,76.8,-0.284,-0.1815,61.88,,,,0.58447265625,2.521484375,293.0,-5.078125,2.994140625,-7.01953125,1.7822265625,295.0,-0.283935546875,-0.1815185546875,61.875
652,WF1,2018-05-28 04:00:00,-6.656,8.87,292.5,-10.64,12.5,293.2,-6.88,12.36,293.0,-9.95,8.73,293.0,-3.193,0.0902,293.5,-1.314,-1.27,293.0,-5.01,4.918,293.2,-9.41,7.664,293.5,-3.338,5.96,293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.858,2.385,100.0,-0.03635,0.856,26.11,-2.867,-0.6484,67.8,-0.2708,-0.9644,92.4,,,,-3.337890625,5.9609375,293.0,,,,,,-0.270751953125,-0.96435546875,92.375
653,WF1,2018-05-28 05:00:00,-6.06,9.67,292.8,-9.52,11.01,293.0,-7.855,11.91,293.0,-9.4,9.18,293.0,-0.96,7.137,293.2,-3.27,4.598,293.2,-8.39,5.027,293.0,-8.05,6.152,293.2,-8.414,6.95,292.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.312,5.145,100.0,-1.45,0.7974,31.39,-2.379,-1.092,75.6,-0.888,-1.703,100.0,,,,-8.4140625,6.94921875,292.75,,,,,,-0.88818359375,-1.703125,100.0
654,WF1,2018-05-28 06:00:00,-5.527,8.94,292.8,-8.484,8.93,292.8,-7.684,10.055,293.0,-7.9,9.78,293.0,-4.67,6.094,293.2,-7.297,5.902,293.0,-8.586,5.28,292.8,-7.445,3.506,293.5,-8.35,5.81,293.0,-2.875,4.5,292.5,,,,,,,-6.848,3.348,-5.496,3.281,-6.824,3.686,-2.627,-4.336,-8.87,5.95,,,-2.576,1.925,294.2,-4.477,2.545,294.2,-6.848,3.465,294.2,,,,-7.703,3.174,294.5,-8.52,2.652,294.5,-9.086,4.035,293.5,-9.78,3.773,293.5,-11.02,3.926,293.8,-7.953,2.666,293.8,,,,,,,,,,-4.6,4.07,100.0,-4.31,1.679,72.5,-2.709,-0.5327,47.94,-2.545,-1.701,100.0,,,,-2.875,4.5,292.5,-8.8671875,5.94921875,-7.953125,2.666015625,293.75,-2.544921875,-1.701171875,100.0
655,WF1,2018-05-28 07:00:00,-7.11,8.99,293.0,-6.48,9.85,293.0,-7.68,9.99,292.8,-7.426,9.41,293.0,-5.887,5.402,293.5,-8.11,5.145,293.2,-7.816,6.266,292.5,-8.46,3.611,293.8,-8.516,7.215,292.8,-4.41,3.344,292.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.24,5.387,100.0,-6.15,2.852,100.0,-3.074,1.754,100.0,-3.004,0.6978,100.0,,,,-4.41015625,3.34375,292.75,,,,,,-3.00390625,0.69775390625,100.0
656,WF1,2018-05-28 08:00:00,-6.824,9.18,293.2,-3.238,9.75,292.8,-8.11,10.05,292.8,-7.39,8.99,293.0,-6.19,1.891,293.5,-6.79,5.03,293.5,-7.637,5.605,292.8,-8.31,6.234,293.5,-7.156,10.695,292.5,-3.232,5.445,292.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.89,5.75,100.0,-6.05,4.348,99.94,-6.97,5.277,100.0,-2.865,3.102,100.0,,,,-3.232421875,5.4453125,292.5,,,,,,-2.865234375,3.1015625,100.0
657,WF1,2018-05-28 09:00:00,-5.8,8.04,292.8,-2.645,5.016,292.0,-8.58,8.39,293.2,-7.48,10.05,293.2,-6.156,4.957,293.8,-5.83,7.137,293.0,-8.7,7.18,293.2,-7.1,8.09,292.8,-7.57,10.016,292.8,-2.482,7.383,292.5,,,,,,,-9.44,8.04,-10.22,9.97,-5.473,6.49,-9.664,6.902,-7.1,9.21,,,-7.957,5.785,296.5,-7.914,4.625,296.8,-7.836,4.895,295.5,,,,-8.93,4.617,296.2,-9.125,5.76,295.8,-8.42,6.613,294.5,-8.734,6.992,293.8,-8.016,8.664,293.5,-8.9,7.312,294.0,,,,,,,,,,-4.184,5.99,100.0,-7.105,5.727,100.0,-5.555,4.902,94.4,-3.898,2.682,100.0,,,,-2.482421875,7.3828125,292.5,-7.1015625,9.2109375,-8.8984375,7.3125,294.0,-3.8984375,2.681640625,100.0
658,WF1,2018-05-28 10:00:00,-5.883,7.457,293.0,-0.877,3.637,291.8,-9.6,7.438,293.2,-6.87,10.2,293.2,-8.23,8.59,293.2,-5.55,8.3,293.2,-10.26,9.08,293.5,-8.586,9.3,293.0,-7.746,9.234,293.0,-3.652,7.395,292.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.232,7.2,100.0,-6.402,5.586,100.0,-5.57,4.895,100.0,-5.05,4.38,84.8,,,,-3.65234375,7.39453125,292.5,,,,,,-5.05078125,4.37890625,84.8125
659,WF1,2018-05-28 11:00:00,-5.676,8.14,293.2,0.2313,1.267,291.8,-8.72,3.98,293.0,-7.973,9.95,293.5,-10.03,11.195,293.0,-4.945,9.46,293.2,-10.25,9.766,293.8,-8.23,10.15,293.5,-7.47,8.945,293.2,-4.633,7.438,293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.088,7.074,100.0,-5.88,6.367,100.0,-5.66,5.05,100.0,-4.85,5.695,100.0,,,,-4.6328125,7.4375,293.0,,,,,,-4.8515625,5.6953125,100.0
660,WF1,2018-05-28 12:00:00,-6.535,8.97,294.0,-0.0572,0.2488,292.0,-8.625,3.047,293.2,-8.336,9.664,293.8,-9.19,10.73,293.2,-4.277,12.17,293.2,-9.58,10.266,293.5,-9.04,10.484,293.8,-7.79,8.555,293.8,-4.664,7.25,293.2,-4.72,10.84,292.8,,,,-8.76,10.93,-7.844,10.93,-10.19,11.23,-9.99,10.88,-6.836,7.09,-6.93,9.12,-6.86,5.97,297.5,-8.0,6.793,298.0,-7.977,7.75,296.0,,,,-7.527,9.23,295.8,-8.05,8.58,295.8,-5.72,9.12,295.5,-6.355,9.66,295.0,-4.664,10.0,294.5,-4.92,10.17,294.5,-3.33,9.836,293.5,,,,,,,-4.51,6.61,79.3,-5.395,6.2,100.0,-5.32,5.637,100.0,-4.74,5.688,100.0,-4.215,6.22,100.0,-4.71875,10.84375,292.75,-6.9296875,9.1171875,-3.330078125,9.8359375,293.5,-4.21484375,6.21875,100.0
661,WF1,2018-05-28 13:00:00,,,,-0.4092,-1.116,292.2,-8.97,1.445,292.5,-9.15,10.12,293.8,-8.34,10.73,293.5,-4.32,13.92,293.2,-7.754,10.82,293.5,-9.28,10.27,294.0,-8.07,9.58,294.0,-5.08,6.25,293.8,-3.371,9.36,293.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.715,6.824,100.0,-4.625,5.82,100.0,-4.074,6.1,100.0,-4.402,5.574,100.0,-3.37109375,9.359375,293.25,,,,,,-4.40234375,5.57421875,100.0
662,WF1,2018-05-28 14:00:00,,,,0.5054,-1.333,292.8,-7.324,-0.3162,293.0,-7.703,8.94,293.8,-7.29,10.445,293.5,-6.145,12.3,293.5,-7.223,10.805,293.8,-8.35,10.34,294.0,-7.52,10.49,293.8,-5.887,7.84,293.8,-2.615,8.95,293.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.64,5.848,100.0,-4.305,5.57,100.0,-3.766,6.848,100.0,-3.723,5.77,100.0,-2.615234375,8.953125,293.25,,,,,,-3.72265625,5.76953125,100.0
663,WF1,2018-05-28 15:00:00,,,,0.445,-2.348,293.5,-5.414,-0.0541,293.8,-6.47,7.688,293.5,-7.734,10.17,293.2,-6.387,10.21,293.5,-6.926,11.17,293.8,-7.527,10.39,293.5,-6.6,10.41,293.5,-5.566,8.34,293.2,-2.322,6.516,293.0,,,,,,-6.473,10.46,-7.93,8.45,-3.559,8.44,-4.926,7.055,-4.438,9.07,,,,-4.555,8.25,298.0,-4.34,9.34,296.2,,,,-5.316,9.28,295.8,-5.117,9.62,296.0,-3.904,11.27,294.5,-4.863,11.24,294.5,-4.89,10.14,294.5,-4.51,10.38,294.0,-2.412,9.164,293.5,,,,,,,,,,-4.617,6.285,100.0,-3.66,6.727,98.7,-3.496,6.344,64.3,-3.377,5.953,100.0,-2.322265625,6.515625,293.0,-4.4375,9.0703125,-2.412109375,9.1640625,293.5,-3.376953125,5.953125,100.0
664,WF1,2018-05-28 16:00:00,,,,-0.0284,-1.164,294.0,-2.27,0.7354,294.0,-5.438,8.875,293.2,-8.266,9.43,293.2,-6.312,8.71,293.0,-5.746,10.22,293.5,-6.31,9.664,293.0,-5.316,10.3,293.2,-5.18,8.16,292.8,-3.102,5.066,293.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.93,5.57,100.0,-3.158,5.89,100.0,-4.355,7.066,90.8,-3.031,5.94,99.75,-3.1015625,5.06640625,293.25,,,,,,-3.03125,5.94140625,99.75
665,WF1,2018-05-28 17:00:00,,,,0.622,0.2976,294.2,2.428,1.529,293.8,-3.42,9.33,293.2,-7.26,8.59,293.0,-5.906,7.855,293.0,-5.64,10.08,293.2,-6.41,8.23,292.8,-5.297,9.97,293.0,-4.793,7.23,292.8,-4.133,3.605,293.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.186,5.523,100.0,-2.607,5.305,100.0,-4.72,6.227,37.2,-3.006,5.67,78.4,-4.1328125,3.60546875,293.25,,,,,,-3.005859375,5.671875,78.375
